id,sentiment
12311_10,0.983020283569971
8348_2,0.016245173335245305
5828_4,0.8620569528017389
7186_2,0.4187428852536308
12128_7,0.9013422496563516
2913_8,0.9614780076382754
4396_1,0.018951277071179322
395_2,0.22896515522719366
10616_1,0.008607716674685807
9074_9,0.18927575625146956
9252_3,0.04560348556958621
9896_9,0.8549622188463065
574_4,0.19418177518936694
11182_8,0.7216015749909804
11656_4,0.22791501839967152
2322_4,0.7958858428018203
8703_1,0.1053884789856816
7483_1,0.08751300547940682
6007_10,0.9852838009936854
12424_4,0.013636153353087698
4672_1,0.01027207863282233
10841_3,0.034832457579835316
8954_7,0.65596153265877
7392_1,0.01932707034627509
10288_8,0.9690394625702092
5343_4,0.012992239478456586
4950_1,0.010342096077879724
9257_4,0.573934595561106
8689_3,0.09206588855617212
4480_2,0.029058311017510698
9286_10,0.966873897203439
12245_10,0.9889127475169808
7529_7,0.9181574771269695
4_4,0.027524168630000432
5299_2,0.01525685355004852
12077_8,0.9472353103697773
10701_2,0.014226494150413927
11579_1,0.021318158414635528
10993_1,0.02374755999007114
8913_1,0.029125026394476033
1350_3,0.02047763957683091
3804_2,0.013030706307651721
5025_3,0.18479205649359418
5170_8,0.8671937637493451
8225_8,0.9659039011027868
6427_7,0.9679504535974048
3165_3,0.33176860308960726
7902_9,0.9871950625411681
8208_3,0.020240527698728868
3577_8,0.9601430987556032
4865_1,0.013032258818879231
9063_3,0.3884224730085
1106_1,0.31180163485160334
1117_9,0.9871189914332937
1050_4,0.19266382418694325
10755_9,0.9277553257838531
2729_8,0.9465418144309443
10072_10,0.9853448881467656
2904_7,0.9821132375221233
4584_2,0.8184415137382327
189_4,0.43984215724149384
6302_4,0.15457912431743132
8138_9,0.9582672501286655
1262_1,0.058176513471808695
2199_10,0.9832032734555672
6551_7,0.9386310284971566
8082_7,0.4507537203326112
4897_8,0.9857836073326276
7360_1,0.019710975862928897
11012_10,0.9833491430591507
12046_1,0.2924537207171846
2331_2,0.07061159071999365
8961_9,0.9572854035475769
751_7,0.8052629221952556
9884_10,0.8893345262788973
10016_8,0.9772648513019362
8023_10,0.7782594694426723
2628_1,0.017647055014293433
